Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Bach Long Vy,2023,9,10,27.0,85.0,2.6,4.9
Bach Long Vy,2023,9,11,27.3,89.0,9.1,0.0
Bach Long Vy,2023,9,12,27.5,88.0,65.6,0.0
Bach Long Vy,2023,9,13,27.7,91.0,2.3,0.0
Bach Long Vy,2023,9,14,27.2,91.0,43.0,0.0
Bach Long Vy,2023,9,15,26.7,91.0,0.3,2.4
Bach Long Vy,2023,9,16,27.1,93.0,19.3,0.0
Bach Long Vy,2023,9,17,28.0,92.0,9.3,2.8
Bach Long Vy,2023,9,18,27.5,93.0,18.5,4.9
Bach Long Vy,2023,9,19,28.5,90.0,0.0,6.1
Bach Long Vy,2023,9,20,29.3,85.0,0.0,10.5
Bach Long Vy,2023,9,21,29.4,86.0,0.0,10.7
Bach Long Vy,2023,9,22,28.2,87.0,0.0,9.0
Bach Long Vy,2023,9,23,29.1,86.0,0.0,10.4
Bach Long Vy,2023,9,24,29.5,87.0,1.7,7.1
Bach Long Vy,2023,9,25,28.3,88.0,0.0,9.5
Bach Long Vy,2023,9,26,28.5,88.0,12.0,0.0
Bach Long Vy,2023,9,27,28.3,90.0,76.4,0.0
Bach Long Vy,2023,9,28,28.1,91.0,5.9,1.3
Bach Long Vy,2023,9,29,28.1,90.0,24.3,1.8
Bach Long Vy,2023,9,30,28.4,92.0,0.0,10.6
Bach Long Vy,2023,10,1,28.4,89.0,0.0,10.8
Bach Long Vy,2023,10,2,28.8,89.0,0.0,10.1
Bach Long Vy,2023,10,3,29.0,90.0,0.0,9.8
Bach Long Vy,2023,10,4,29.0,90.0,0.0,10.5
Bach Long Vy,2023,10,5,28.8,89.0,0.0,10.7
Bach Long Vy,2023,10,6,28.4,89.0,0.0,9.8
Bach Long Vy,2023,10,7,27.6,88.0,0.0,1.6
Bach Long Vy,2023,10,8,26.3,80.0,0.0,10.6
Bach Long Vy,2023,10,9,25.7,80.0,0.0,6.6
Bach Long Vy,2023,10,10,24.3,84.0,0.0,1.9
Bach Long Vy,2023,10,11,24.1,89.0,0.3,0.8
Bach Long Vy,2023,10,12,25.4,91.0,0.1,1.7
Bach Long Vy,2023,10,13,26.4,91.0,0.0,5.3
Bach Long Vy,2023,10,14,26.0,90.0,0.0,6.5
Bach Long Vy,2023,10,15,25.9,86.0,0.0,4.7
Bach Long Vy,2023,10,16,26.8,82.0,0.0,6.6
Bach Long Vy,2023,10,17,27.2,80.0,0.0,6.1
Bach Long Vy,2023,10,18,26.5,84.0,0.0,0.2
Bach Long Vy,2023,10,19,25.9,91.0,3.1,0.7
Bach Long Vy,2023,10,20,26.6,85.0,0.0,5.7
Bach Long Vy,2023,10,21,21.3,94.0,0.0,0.0
Bach Long Vy,2023,10,22,22.6,95.0,1.7,0.0
Bach Long Vy,2023,10,23,24.6,92.0,0.4,1.7
Bach Long Vy,2023,10,24,26.2,90.0,0.0,6.3
Bach Long Vy,2023,10,25,26.5,92.0,0.0,9.5
Bach Long Vy,2023,10,26,26.5,92.0,0.0,4.8
Bach Long Vy,2023,10,27,26.6,93.0,0.0,9.1
Bach Long Vy,2023,10,28,25.9,94.0,1.5,5.0
Bach Long Vy,2023,10,29,25.3,94.0,21.8,0.0
Bach Long Vy,2023,10,30,25.1,91.0,0.0,5.4
Bach Long Vy,2023,10,31,25.7,84.0,0.0,8.9
Bach Long Vy,2023,11,1,25.6,84.0,0.0,9.7
Bach Long Vy,2023,11,2,25.6,89.0,0.0,9.3
Bach Long Vy,2023,11,3,26.5,90.0,0.0,6.2
Bach Long Vy,2023,11,4,27.0,87.0,0.0,2.7
Bach Long Vy,2023,11,5,26.7,90.0,0.1,2.3
Bach Long Vy,2023,11,6,27.0,91.0,0.4,5.6
