Dia_diem,Nam,Thang,Ngay,T,U,R,Sh
Ha Long,2023,12,25,16.5,42,0,5.8
Ha Long,2023,12,26,16.1,63,0,7.9
Ha Long,2023,12,27,17.3,75,0,8.2
Ha Long,2023,12,28,18.6,72,0,8
Ha Long,2023,12,29,20.8,73,0.8,0.6
Ha Long,2023,12,30,19.7,88,6.9,0.6
Ha Long,2023,12,31,21,81,0,2.1
Ha Long,2024,1,1,21.6,78,0,6.8
Ha Long,2024,1,2,22.1,87,0,4.5
Ha Long,2024,1,3,19,84,12.8,1.1
Ha Long,2024,1,4,18.8,71,0,1.8
Ha Long,2024,1,5,19.9,82,0,0.9
Ha Long,2024,1,6,21.1,82,0,7
Ha Long,2024,1,7,21.5,77,0,7.1
Ha Long,2024,1,8,21.9,86,0,1.7
Ha Long,2024,1,9,22,85,0,2.2
Ha Long,2024,1,10,19.9,90,5.1,0
Ha Long,2024,1,11,18.4,90,8.6,0
Ha Long,2024,1,12,18.5,93,7.6,0
Ha Long,2024,1,13,18.6,93,10,0
Ha Long,2024,1,14,20.2,82,0.2,0.6
Ha Long,2024,1,15,21.5,78,0,6.6
Ha Long,2024,1,16,21.5,76,0,6.7
Ha Long,2024,1,17,21,84,2.9,0.6
Ha Long,2024,1,18,21.6,85,0.1,4.5
Ha Long,2024,1,19,21.3,88,0,5.1
Ha Long,2024,1,20,21.7,86,0,6.7
Ha Long,2024,1,21,18.5,84,4.3,0
Ha Long,2024,1,22,13.6,83,0.9,0
Ha Long,2024,1,23,9,74,0,0
Ha Long,2024,1,24,9.7,68,0,0
Ha Long,2024,1,25,11.1,63,0,0
Ha Long,2024,1,26,11.8,68,0,0
Ha Long,2024,1,27,10.7,83,2.4,0
Ha Long,2024,1,28,11.8,79,0,0
Ha Long,2024,1,29,12.8,90,0.8,0
Ha Long,2024,1,30,16,87,0.1,0
Ha Long,2024,1,31,18,92,1.1,0
Ha Long,2024,2,1,19.9,90,0.9,0
Ha Long,2024,2,2,21.6,87,0.4,3.5
